dropped_feature,kept_feature,correlation,MI_dropped,MI_kept,reason
Chi1,MolWt,0.9857819632108197,0.14486150747421775,0.20721746416107756,"r = 0.986, Chi1 < MolWt по MI"
Chi1v,Chi1n,0.9830347036937029,0.13680242032082865,0.12470873061778165,"r = 0.983, Chi1v < Chi1n по MI"
Chi1v,Chi0v,0.9876618739427001,0.13680242032082865,0.13131601174348415,"r = 0.988, Chi1v < Chi0v по MI"
Chi1v,Chi0n,0.9764543989998754,0.13680242032082865,0.1426077843007387,"r = 0.976, Chi1v < Chi0n по MI"
HeavyAtomCount,Kappa1,0.965167078719915,0.13171221320359713,0.15279337366870596,"r = 0.965, HeavyAtomCount < Kappa1 по MI"
HeavyAtomCount,LabuteASA,0.9936397028293614,0.13171221320359713,0.14814399928391636,"r = 0.994, HeavyAtomCount < LabuteASA по MI"
HeavyAtomCount,NumValenceElectrons,0.9897652288564067,0.13171221320359713,0.14643419654105763,"r = 0.990, HeavyAtomCount < NumValenceElectrons по MI"
HeavyAtomCount,MolWt,0.988169171189017,0.13171221320359713,0.20721746416107756,"r = 0.988, HeavyAtomCount < MolWt по MI"
HeavyAtomCount,ExactMolWt,0.9883434578317156,0.13171221320359713,0.21602777803213,"r = 0.988, HeavyAtomCount < ExactMolWt по MI"
HeavyAtomCount,Chi1,0.9986539112939931,0.13171221320359713,0.14486150747421775,"r = 0.999, HeavyAtomCount < Chi1 по MI"
