,reg_IC50,reg_CC50,reg_SI,clf_IC50,clf_CC50,clf_SI,clf_SI_gt_8,MI_avg
Kappa3,0.08076559788109927,0.46427061183872365,0.06681115392575077,0.039367243980429345,0.04786256216823093,0.040890949566835255,0.016465577513199436,0.1080619566963241
LabuteASA,0.17173505128004107,0.6702595081594329,0.04771320899997322,0.038255775022021155,0.064034611925887,0.01702433553051952,0.02798550406953959,0.14814399928391636
PEOE_VSA1,0.11132935197942295,0.35325143498111,0.08632020847526833,0.08334008489239308,0.11299178709481761,0.035269772170203106,0.04670984421003577,0.11845892625760726
PEOE_VSA10,0.07818585829888747,0.19336426961291409,0.07226120202361574,0.039461689768002906,0.04622176085027596,0.02026798870755786,0.02428723321282833,0.0677214289248689
PEOE_VSA11,0.03323379189441811,0.20492889081531063,0.04253770029319348,0.02896356372555231,0.042693641419011996,0.017547016405873528,0.032257450809272115,0.057451722194661735
PEOE_VSA12,0.05135100579871521,0.2079723893327441,0.0453733920110313,0.012563271427519895,0.03198321204859389,0.0039012947855747715,0.011388172582574851,0.05207610542667914
PEOE_VSA13,0.040451057778660315,0.11198681035243352,0.028502857462954667,0.006267109899071643,0.013670355477507057,0.0005651343910701989,0.0,0.028777617908813915
PEOE_VSA14,0.09411855331665997,0.20093163973386718,0.050693264704603,0.013296953545763213,0.002858071495575931,0.01737455570669777,0.0215336972331015,0.05725810510518122
PEOE_VSA2,0.11441057473916816,0.2756260278320779,0.08988690741417438,0.05618682363326499,0.03277668348134055,0.036098955576502556,0.03745547386208292,0.09177734950551593
PEOE_VSA3,0.05036223855992983,0.22848970898302134,0.05332350836183419,0.0,0.012825851112901798,0.014548788014834502,0.02253519489707334,0.054583612847085
PEOE_VSA4,0.030092119706250475,0.1266246312822581,0.040543251270815484,0.009412578828617235,0.027799528957954456,0.0,0.0,0.03349601572084225
PEOE_VSA5,0.025809671375577325,0.062036693944236276,0.0,0.0,0.0,0.0,0.009235048048707561,0.013868773338360165
PEOE_VSA6,0.07063313432101204,0.2931595741078361,0.08605526450711487,0.09351956796666805,0.08592696885118323,0.0490544532495627,0.04223473250263354,0.10294052792943008
PEOE_VSA7,0.09393532198591581,0.33050552267782907,0.07505196564090122,0.08047624647279639,0.09284930582393969,0.04423611436456221,0.05370662306507912,0.1101087285758605
PEOE_VSA8,0.06639712338045589,0.31497246557184955,0.05008657673406791,0.06498728544626275,0.09490876308451934,0.039990486424825944,0.05147089401566962,0.09754479923680728
PEOE_VSA9,0.10250844840153572,0.27301141485816194,0.07525468988651474,0.05617428075558584,0.0943505697757756,0.04863785802226883,0.02644703398361581,0.09662632795477978
SMR_VSA1,0.12041884179321993,0.33547368767133623,0.08211821941880437,0.050339997797326896,0.07790508329195811,0.04505294350030575,0.04734293995827188,0.10837881620446045
SMR_VSA10,0.05078309438402684,0.33684073684572846,0.062251177900899624,0.0113418851233551,0.061756153490538424,0.025672755627612842,0.01729374380637516,0.08084850673979092
SMR_VSA2,0.002520711713161705,0.0007273030779522127,0.004643905616539712,0.03341247821200777,0.010896220741395402,0.0,0.0,0.007457231337293828
SMR_VSA3,0.07467282587600454,0.1988830651752691,0.040273531313410604,0.031577179333418304,0.03563971409744271,0.025459153888613306,0.03914593877143924,0.06366448692222826
SMR_VSA4,0.12746091765148826,0.32360831586972205,0.14202655722722124,0.05304148824536492,0.11284217462172097,0.030962663240300614,0.05847102025405171,0.1212018767299814
SMR_VSA5,0.08377419163719013,0.33717225472318724,0.09239265525318308,0.08082335412652242,0.11660721350009129,0.07442815427188298,0.0824794952403658,0.12395390267891757
SMR_VSA6,0.08086387918535287,0.34453903892874305,0.07047294315896968,0.04533354740102946,0.10215812153397419,0.013194496804380451,0.03463997053829404,0.09874314250724911
SMR_VSA7,0.07578993040664406,0.3320259907358256,0.026469255482290066,0.0601253368371546,0.0439738189222576,0.0605475654695371,0.05568464304934939,0.09351664870043692
SMR_VSA9,0.0445351703344401,0.17537577374603153,0.017197494804213065,0.023712041184263732,0.021330194647432688,0.021228107844282418,0.025605192506757746,0.04699771072391733
SlogP_VSA1,0.07046247354056856,0.3445920930019519,0.05370418635946583,0.032308707660888336,0.05524324763155475,0.03886668647348457,0.03897827924498953,0.09059366770184336
SlogP_VSA10,0.08705870020710993,0.23108510388466907,0.06456433720375143,0.0023315999538289223,0.020038529658847448,0.0,0.0,0.05786832441545812
SlogP_VSA11,0.049488516213270994,0.14631863013462243,0.0014907081543391598,0.02503555474047392,0.006969830372234309,0.0,0.0,0.03275760565927726
SlogP_VSA12,0.026815011054799776,0.09928366690187107,0.02173404032198789,0.0,0.017729001625368168,0.0,0.008914866725617365,0.024925226661377753
SlogP_VSA2,0.0832855062580573,0.38058135047431607,0.09584708805877895,0.08990073546177113,0.14283017091239136,0.03474009663875233,0.059362664045023106,0.12664965883558432
SlogP_VSA3,0.14284274722775736,0.32483342351067623,0.03029590120570358,0.05790995708451341,0.08139748251088763,0.014561310533090843,0.03229836314223,0.09773416931640844
SlogP_VSA4,0.17334186313542332,0.29965580759365196,0.11840727648541627,0.04972453137394184,0.09362730934910135,0.03582028697187889,0.02941317609210503,0.11428432157164552
SlogP_VSA5,0.10301643400948945,0.4151208232299739,0.0889323629887917,0.07143478300165751,0.10199365312611608,0.04385837996511199,0.06467973017277351,0.12700516664198774
SlogP_VSA6,0.06107398878726622,0.3838991363492332,0.10538466199154906,0.03358055899784551,0.07498712742042368,0.05362957411521152,0.06743034644923096,0.11142648487296573
SlogP_VSA7,0.0008071151965214352,0.023175011123029554,0.006211326352177915,0.005659838812891449,0.05543992051159474,0.0,0.006078330910447738,0.013910220415237548
SlogP_VSA8,0.023179744636818267,0.19800958795443901,0.02731178747797003,0.011907318353191032,0.0483979902421281,0.012948747509977432,0.0,0.04596502516778912
TPSA,0.06668813548367192,0.27982892098478107,0.003266001052912859,0.08523235935917306,0.12508476690097647,0.06710721905270556,0.04300470611836538,0.09574458699322662
EState_VSA1,0.026208668871076313,0.17679582235232427,0.05545567877835822,0.0495581320484082,0.07025746195199334,0.02707273626631901,0.04753280350113531,0.06469732910994495
EState_VSA10,0.12654086590778446,0.26939839590185777,0.06637320071109132,0.040557452884432355,0.08694566183518293,0.018873980926947365,0.04087005359314788,0.09279423025149201
EState_VSA11,0.00790648382629544,0.012420281100302688,0.0,0.007401725289658545,0.0016032168634190214,0.0,0.0,0.0041902438685251
EState_VSA2,0.08469115522993897,0.2643767285240375,0.05341129945113199,0.06093478595046786,0.06437764690043601,0.013150120931636033,0.021026866351373075,0.08028122904843163
EState_VSA3,0.04522918472674853,0.3628314464492868,0.06551638721291386,0.06556564528311659,0.04503455600889272,0.059620308257041454,0.05216856681188786,0.09942372782141254
EState_VSA4,0.04750144208006013,0.28570455012772644,0.0436931724868348,0.05780795919401727,0.05510920518546247,0.06558693326439546,0.05965055575322409,0.0878648311559601
EState_VSA5,0.07064100389126926,0.22998526423222998,0.037064324784637837,0.030787068127668293,0.0691829257978398,0.04359110852561798,0.02806952382065364,0.07276017416855954
EState_VSA6,0.0768201010230487,0.15100574088586827,0.06155993820761818,0.04855947963415508,0.030068892307323125,0.015444125793773411,0.022595893934122646,0.058007738826558485
